Symbol,Name,IndustryCode,Industry,Symbol_kor
BYNO,Bynordic Acquisition Corp,55601010.0,투자 지주 회사,바이노르딕 애퀴지션
ALOT,AstroNova Inc,57106010.0,컴퓨터 하드웨어,아스트로노바
PFTA,Perception Capital Corp III,55601010.0,투자 지주 회사,퍼셉션 캐피털 III
CGO,Calamos Global Total Return Closed Fund,55501030.0,폐쇄형 펀드,Calamos Global Total Return Closed Fund
GNSS,Genasys Inc,57102010.0,통신 및 네트워킹,제나시스
MSBIP,Midland Sts Bancorp Depositary Shs Repstg 1/40Th Perp Pfd Ser A,55101010.0,은행,미드랜드 스테이츠 뱅코프 우선주 시리즈 A
KPTI,Karyopharm Therapeutics Inc,56202010.0,생명 공학 및 의학 연구,카료팜 테라퓨틱스
AUID,Authid Inc,57201020.0,소프트웨어,오스아이디
ADAG,Adagene Inc ADR,56202010.0,생명 공학 및 의학 연구,아다진 ADR
APXI,APx Acquisition Corp I,55601010.0,투자 지주 회사,에이피엑스 애퀴지션 I
FNGR,FingerMotion Inc,57201020.0,소프트웨어,핑거모션
EBMT,Eagle Bancorp Montana Inc,55101010.0,은행,이글 뱅코프 몬태나
TELA,TELA Bio Inc,56101020.0,"의료 장비, 물품 및 유통",텔라 바이오
CDAQ,Compass Digital Acquisition Corp,55601010.0,투자 지주 회사,컴퍼스 디지털 애퀴지션
CRDF,Cardiff Oncology Inc,56202010.0,생명 공학 및 의학 연구,카디프 온콜로지
BCOV,Brightcove Inc,57201030.0,온라인 서비스,브라이트코브
CITE,Cartica Acquisition Corp,55601010.0,투자 지주 회사,카르티카 애퀴지션
CFFS,CF Acquisition Corp VII,55601010.0,투자 지주 회사,CF 애퀴지션 VII
TZOO,Travelzoo,53301040.0,여가 및 오락시설,트래블주
IVP,Inspire Veterinary Partners Inc,56102010.0,의료 시설 및 서비스,인스파이어 베테리너리 파트너스
HURC,Hurco Companies Inc,52102010.0,산업용 기계 및 장비,허코 컴퍼니스
IMPP,Imperial Petroleum Inc,50201020.0,재생 가능 연료,임페리얼 페트롤리엄
RLMD,Relmada Therapeutics Inc,56202010.0,생명 공학 및 의학 연구,렐마다 테라퓨틱스
CTMX,CytomX Therapeutics Inc,56202010.0,생명 공학 및 의학 연구,사이톰엑스 테라퓨틱스
WINVU,WinVest Acquisition Units,55601010.0,투자 지주 회사,WinVest Acquisition Units
AOGOU,Arogo Capital Acquisition Units,55601010.0,투자 지주 회사,Arogo Capital Acquisition Units
FNWD,Finward Bancorp,55101010.0,은행,핀워드 뱅코프
RGLS,Regulus Therapeutics Inc,56202010.0,생명 공학 및 의학 연구,레귤러스 테라퓨틱스
INCR,InterCure Ltd,56102010.0,의료 시설 및 서비스,인터큐어
GECC,Great Elm Capital Corp,55501030.0,폐쇄형 펀드,그레이트 엘름 캐피털
RILYM,B Riley Financial 6.375% Senior Notes Exp 28th Feb 2025,55102010.0,투자 은행 및 중개 서비스,B. 라일리 파이낸셜 선순위 채권 6.375% 만기 2025년
RFACU,RF Acquisition Units,55601010.0,투자 지주 회사,RF Acquisition Units
ESGRO,Enstar Group Depository Shares 7 Perpetual Non Cumulative Preference Shs Series,55301050.0,재보험,엔스타 그룹 우선주 시리즈 E 7%
BWAY,Brainsway Ltd ADR,56101010.0,첨단 의료 장비 및 기술,브레인스웨이 ADR
ROCLU,Roth CH Acquisition V Units,55601010.0,투자 지주 회사,Roth CH Acquisition V Units
FRLAU,Fortune Rise Acquisition Units,55601010.0,투자 지주 회사,Fortune Rise Acquisition Units
SFBC,Sound Financial Bancorp Inc,55101010.0,은행,사운드 파이낸셜 뱅코프
WPRT,Westport Fuel Systems Inc,53101020.0,"자동차, 트럭 및 오토바이 부품",웨스트포트 퓨얼 시스템즈
OMGA,Omega Therapeutics Inc,56202010.0,생명 공학 및 의학 연구,오메가 테라퓨틱스
COYA,Coya Therapeutics Inc,56202010.0,생명 공학 및 의학 연구,코야 테라퓨틱스
SGMT,Sagimet Biosciences Inc,56202010.0,생명 공학 및 의학 연구,새기멧 바이오사이언시스
FGEN,FibroGen Inc,56202010.0,생명 공학 및 의학 연구,파이브로젠
ATOM,Atomera Inc,57101010.0,반도체,아토메라
BNAI,Brand Engagement Network Inc,57201010.0,IT 서비스 및 컨설팅,브랜드 인게이지먼트 네트워크
CXDO,Crexendo Inc,57201010.0,IT 서비스 및 컨설팅,크렉센도
WW,WW International Inc,54201030.0,개인 서비스,WW 인터내셔널
PLCE,Children's Place Inc,53403040.0,의류 및 액세서리 소매,칠드런스 플레이스
PSNL,Personalis Inc,56202010.0,생명 공학 및 의학 연구,퍼스날리스
PLMI,Plum Acquisition Corp I,55601010.0,투자 지주 회사,플럼 애퀴지션 I
WMPN,William Penn Bancorp,55101010.0,은행,윌리엄 펜 뱅코프
LARK,Landmark Bancorp Inc,55101010.0,은행,랜드마크 뱅코프
UNB,Union Bankshares Inc,55101010.0,은행,유니언 뱅크셰어스
LGCB,Linkage Global Inc,53402010.0,백화점,링키지 글로벌
OMEX,Odyssey Marine Exploration Inc,51201050.0,특수 채굴 및 금속,오디세이 마린 익스플로레이션
GSIW,Garden Stage Ltd,55102010.0,투자 은행 및 중개 서비스,가든 스테이지
EMCGU,Embrace Change Acquisition Units,55601010.0,투자 지주 회사,Embrace Change Acquisition Units
SATL,Satellogic Inc,51201070.0,채굴 지원 서비스 및 장비,스텔로직
ONBPP,Old National Bancorp 40 Depositary Shares Rep 1 Pref Shs Series A,55101010.0,은행,올드 내셔널 뱅코프 40 우선주 시리즈 A
BZFD,BuzzFeed Inc,57201030.0,온라인 서비스,버즈피드
BPYPP,Brookfield Property Partners 6 50 Cumulative Redeemable Perpetual Preferred,60101010.0,"부동산 임대, 개발 및 운영",Brookfield Property Partners 6 50 Cumulative Redeemable Perpetual Preferred
TLGY,TLGY Acquisition Corp,55601010.0,투자 지주 회사,TLGY 애퀴지션
SFWL,SHENGFENG DEVELOPMENT Ltd,52405010.0,"배달, 우편, 항공 화물 및 육상 물류",생풍 디벨롭먼트
BIRD,Allbirds Inc,53202030.0,제화,올버즈
ACET,Adicet Bio Inc,56202010.0,생명 공학 및 의학 연구,에이디셋바이오
FTAIN,FTAI Aviation 8 25 Fixed Rate Reset Cumulative Perpetual Pref Shs Series C,55101050.0,기업 금융 서비스,FTAI 애비에이션 우선주 8.25%
CSLM,CSLM Acquisition Corp,55601010.0,투자 지주 회사,CSLM 애퀴지션
IVAC,Intevac Inc,57104010.0,전자 장비 및 부품,인터백
REGCP,Regency Centers 6 25 Series A Cumulative Redeemable Preferred Stock,60102020.0,상업용 REITs,리젠시 센터스 우선주 Series A 6.25%
CPHC,Canterbury Park Holding Corp,53301030.0,카지노 및 도박,캔터베리 파크 홀딩
SNCR,Synchronoss Technologies Inc,57201010.0,IT 서비스 및 컨설팅,싱크로노스 테크놀로지스
VSACU,Vision Sensing Acquisition Units,55601010.0,투자 지주 회사,Vision Sensing Acquisition Units
XNET,Xunlei Ltd ADR,57201010.0,IT 서비스 및 컨설팅,쉰레이 ADR
NNAG,99 Acquisition Group Inc,55601010.0,투자 지주 회사,99 애퀴지션 그룹
THCP,Thunder Bridge Capital Partners IV Inc,55601010.0,투자 지주 회사,선더 브릿지 파트너스 IV
ELDN,Eledon Pharmaceuticals Inc,56202010.0,생명 공학 및 의학 연구,엘레돈 파마슈티컬스
TOUR,Tuniu Corp ADR,53301040.0,여가 및 오락시설,투뉴 ADR
FTAIP,FTAI Aviation 8 25 Fixed to Floating Rate Cumulative Perpetual Redeemable Prf,55101050.0,기업 금융 서비스,FTAI 애비에이 우선주 시리즈 A 8.25%
CAAS,China Automotive Systems Inc,53101020.0,"자동차, 트럭 및 오토바이 부품",중국 오토모티브 시스템
ORMP,Oramed Pharmaceuticals Inc,56202010.0,생명 공학 및 의학 연구,오라메드 파마슈티컬스
OVBC,Ohio Valley Banc Corp,55101010.0,은행,오하이오 밸리 뱅크
SPKLU,Spark I Acquisition Units,55601010.0,투자 지주 회사,Spark I Acquisition Units
SKYX,SKYX Platforms Corp,52102030.0,전기 부품 및 장비,스카이엑스 플랫폼스
VTGN,Vistagen Therapeutics Inc,56202010.0,생명 공학 및 의학 연구,비스타젠 테라퓨틱스
GODNU,Golden Star Acquisition Units,55601010.0,투자 지주 회사,Golden Star Acquisition Units
STRT,Strattec Security Corp,53101020.0,"자동차, 트럭 및 오토바이 부품",스트라텍 시큐리티
MYNA,Mynaric AG ADR,57102010.0,통신 및 네트워킹,마이나릭 ADR
BPOPM,Popular Capital Trust II 6 125 Cumulative Monthly Income Pref Shs,55501010.0,영국 투자 신탁,파퓰러 캐피탈 트러스트 II 우선주 6.125%
FATBP,FAT Brands 8 25 Cum Prf Shs Series B,53301020.0,레스토랑 및 바,FAT 브랜즈 우선주 시리즈 B 8.250%
DECAU,Denali Capital Acquisition Units,55601010.0,투자 지주 회사,Denali Capital Acquisition Units
LUNA,Luna Innovations Inc,52102010.0,산업용 기계 및 장비,루나 이노베이션스
FCAP,First Capital Inc,55101010.0,은행,퍼스트 캐피탈
YIBO,Planet Image International Ltd,57105010.0,사무기기,플래닛 이미지 인터내셔널
GIFI,Gulf Island Fabrication Inc,50103020.0,오일 관련 서비스 및 장비,걸프 아일랜드 패브리케이션
TENKU,Tenx Keane Acquisition Units,55601010.0,투자 지주 회사,Tenx Keane Acquisition Units
VLYPP,Valley National 6 25 Fixed to Floating Rate Non Cumulative Perpetual Pref Shs,55101010.0,은행,밸리 내셔널 뱅코프 우선주 시리즈 A
MNTX,Manitex International Inc,52102020.0,중장비 및 차량,매니텍스 인터내셔널
ACACU,Acri Capital Acquisition Units,55601010.0,투자 지주 회사,Acri Capital Acquisition Units
FXNC,First National Corp,55101010.0,은행,퍼스트 내셔널
ANIX,Anixa Biosciences Inc,56202010.0,생명 공학 및 의학 연구,애닉사 바이오사이언시스
HOVNP,Hovnanian Enterprises 1000 Depositary Shares Representing 1 7.625% Pref Shs,53203010.0,주택 건설,호브내니언 엔터프라이스 우선주 시리즈 A 7.625%
RTC,Baijiayun Group Ltd,57201010.0,IT 서비스 및 컨설팅,푸웨이 필름스
VCSA,Vacasa Inc,57201030.0,온라인 서비스,바카사
VTSI,VirTra Inc,52101010.0,항공우주 및 방위,버트라
ELUT,Elutia Inc,56201040.0,제약,엘루시아
ZENV,Zenvia Inc,57201020.0,소프트웨어,젠비아
VTNR,Vertex Energy Inc,50102030.0,"오일, 가스 정제 및 마케팅",버텍스 에너지
EPRX,Eupraxia Pharmaceuticals Inc,56202010.0,생명 공학 및 의학 연구,유프락시아 파마슈티컬스
SBFG,SB Financial Group Inc,55101010.0,은행,SB 파이낸셜 그룹
ZTEK,Zentek Ltd,56202010.0,생명 공학 및 의학 연구,젠텍
KLXE,KLX Energy Services Holdings Inc,50103020.0,오일 관련 서비스 및 장비,KLX 에너지 서비시스 홀딩스
BTM,Bitcoin Depot Inc,57301030.0,블록 체인 및 암호화폐,비트코인 디포
HGBL,Heritage Global Inc,55102020.0,투자 관리 및 펀드 운영,헤리티지글로벌
METCB,Ramaco Resources Inc Class B,51201020.0,철 및 강철,라마코 리소시스 Class B
ACNT,Ascent Industries Co,51201020.0,철 및 강철,어센트 인더스트리즈
RILYL,B Riley Financial Depository Shares,55102010.0,투자 은행 및 중개 서비스,B 라일리 파이낸셜 우선주 시리즈 B 7.375%
SND,Smart Sand Inc,51202010.0,건설 자재,스마트 샌드
SY,So-Young International Inc ADR,57201030.0,온라인 서비스,소영 인터내셔널 ADR
CKPT,Checkpoint Therapeutics Inc,56202010.0,생명 공학 및 의학 연구,체크포인트 테라퓨틱스
DUETU,DUET Acquisition Units,55601010.0,투자 지주 회사,DUET Acquisition Units
IXAQ,IX Acquisition Corp,55601010.0,투자 지주 회사,IX 애퀴지션
UCBIO,United Communty Banks 1000 Dep Shs Repstg 1 Pref Shs Series I,55101010.0,은행,유나이티드 커뮤니티 뱅크 우선주 시리즈 I 6.875%
TBMC,Trailblazer Merger Corporation I,55601010.0,투자 지주 회사,트레일블레이저 머저 I
BROG,Brooge Energy Ltd,50103030.0,오일 및 가스 수송 서비스,브루지 에너지
SPWH,Sportsmans Warehouse Holdings Inc,53403090.0,기타 전문 소매,스포츠맨스 웨어하우스 홀딩스
TYGO,Tigo Energy Inc,57101010.0,반도체,티고 에너지
